	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description	assay	source	group	strand
896	CNhs12371+	path/to/data/coverage+.w5	768	384	1.0	sum	897	CAGE:mesenchymal precursor cell - cardiac,	cage	fantom	fantom	+
898	CNhs12372+	path/to/data/coverage+.w5	768	384	1.0	sum	899	CAGE:mesenchymal precursor cell - ovarian cancer left ovary,	cage	fantom	fantom	+
900	CNhs12373+	path/to/data/coverage+.w5	768	384	1.0	sum	901	CAGE:mesenchymal precursor cell - ovarian cancer right ovary,	cage	fantom	fantom	+
902	CNhs13097+	path/to/data/coverage+.w5	768	384	1.0	sum	903	CAGE:mesenchymal precursor cell - ovarian cancer metastasis,	cage	fantom	fantom	+
904	CNhs12377+	path/to/data/coverage+.w5	768	384	1.0	sum	905	CAGE:mesenchymal precursor cell - ovarian cancer right ovary,  (SOC-57-02)	cage	fantom	fantom	+
906	CNhs12503+	path/to/data/coverage+.w5	768	384	1.0	sum	907	CAGE:amniotic membrane cells,	cage	fantom	fantom	+
908	CNhs12380+	path/to/data/coverage+.w5	768	384	1.0	sum	909	CAGE:chorionic membrane cells,	cage	fantom	fantom	+
910	CNhs12492+	path/to/data/coverage+.w5	768	384	1.0	sum	911	CAGE:Mesenchymal stem cells - umbilical,	cage	fantom	fantom	+
912	CNhs12493+	path/to/data/coverage+.w5	768	384	1.0	sum	913	CAGE:Fibroblast - Periodontal Ligament,  (PL29)	cage	fantom	fantom	+
914	CNhs12518+	path/to/data/coverage+.w5	768	384	1.0	sum	915	CAGE:common myeloid progenitor CMP,	cage	fantom	fantom	+
916	CNhs12519+	path/to/data/coverage+.w5	768	384	1.0	sum	917	CAGE:granulocyte macrophage progenitor,	cage	fantom	fantom	+
918	CNhs12529+	path/to/data/coverage+.w5	768	384	1.0	sum	919	CAGE:promyelocytes/myelocytes PMC,	cage	fantom	fantom	+
920	CNhs12530+	path/to/data/coverage+.w5	768	384	1.0	sum	921	CAGE:neutrophil PMN,	cage	fantom	fantom	+
922	CNhs12538+	path/to/data/coverage+.w5	768	384	1.0	sum	923	CAGE:Mallassez-derived cells,  (MZH3)	cage	fantom	fantom	+
924	CNhs12545+	path/to/data/coverage+.w5	768	384	1.0	sum	925	CAGE:CD133+ stem cells - cord blood derived, pool1	cage	fantom	fantom	+
926	CNhs12575+	path/to/data/coverage+.w5	768	384	1.0	sum	927	CAGE:Basophils,	cage	fantom	fantom	+
928	CNhs12549+	path/to/data/coverage+.w5	768	384	1.0	sum	929	CAGE:Eosinophils,	cage	fantom	fantom	+
930	CNhs12552+	path/to/data/coverage+.w5	768	384	1.0	sum	931	CAGE:CD133+ stem cells - adult bone marrow derived, pool1	cage	fantom	fantom	+
932	CNhs12553+	path/to/data/coverage+.w5	768	384	1.0	sum	933	CAGE:CD34+ stem cells - adult bone marrow derived, , tech_	cage	fantom	fantom	+
934	CNhs12589+	path/to/data/coverage+.w5	768	384	1.0	sum	935	CAGE:nasal epithelial cells, , tech_	cage	fantom	fantom	+
936	CNhs12558+	path/to/data/coverage+.w5	768	384	1.0	sum	937	CAGE:mature adipocyte,	cage	fantom	fantom	+
938	CNhs12593+	path/to/data/coverage+.w5	768	384	1.0	sum	939	CAGE:Mast cell,	cage	fantom	fantom	+
940	CNhs12597+	path/to/data/coverage+.w5	768	384	1.0	sum	941	CAGE:Smooth Muscle Cells - Umbilical Vein,	cage	fantom	fantom	+
942	CNhs12574+	path/to/data/coverage+.w5	768	384	1.0	sum	943	CAGE:nasal epithelial cells,	cage	fantom	fantom	+
944	CNhs12586+	path/to/data/coverage+.w5	768	384	1.0	sum	945	CAGE:Oligodendrocyte - precursors,	cage	fantom	fantom	+
946	CNhs12590+	path/to/data/coverage+.w5	768	384	1.0	sum	947	CAGE:Perineurial Cells,	cage	fantom	fantom	+
948	CNhs12595+	path/to/data/coverage+.w5	768	384	1.0	sum	949	CAGE:Smooth Muscle Cells - Intestinal,	cage	fantom	fantom	+
950	CNhs12596+	path/to/data/coverage+.w5	768	384	1.0	sum	951	CAGE:Iris Pigment Epithelial Cells,	cage	fantom	fantom	+
952	CNhs12610+	path/to/data/coverage+.w5	768	384	1.0	sum	953	CAGE:diencephalon, adult	cage	fantom	fantom	+
954	CNhs12611+	path/to/data/coverage+.w5	768	384	1.0	sum	955	CAGE:olfactory region, adult	cage	fantom	fantom	+
956	CNhs12640+	path/to/data/coverage+.w5	768	384	1.0	sum	957	CAGE:tenocyte,	cage	fantom	fantom	+
958	CNhs12805+	path/to/data/coverage+.w5	768	384	1.0	sum	959	CAGE:medulloblastoma cell line:D283 Med	cage	fantom	fantom	+
960	CNhs12806+	path/to/data/coverage+.w5	768	384	1.0	sum	961	CAGE:large cell lung carcinoma cell line:NCI-H460	cage	fantom	fantom	+
962	CNhs12807+	path/to/data/coverage+.w5	768	384	1.0	sum	963	CAGE:plasma cell leukemia cell line:ARH-77	cage	fantom	fantom	+
964	CNhs12808+	path/to/data/coverage+.w5	768	384	1.0	sum	965	CAGE:small cell lung carcinoma cell line:DMS 144	cage	fantom	fantom	+
966	CNhs12809+	path/to/data/coverage+.w5	768	384	1.0	sum	967	CAGE:small cell lung carcinoma cell line:NCI-H82	cage	fantom	fantom	+
968	CNhs12812+	path/to/data/coverage+.w5	768	384	1.0	sum	969	CAGE:salivary acinar cells,	cage	fantom	fantom	+
970	CNhs12838+	path/to/data/coverage+.w5	768	384	1.0	sum	971	CAGE:merkel cell carcinoma cell line:MKL-1	cage	fantom	fantom	+
972	CNhs12839+	path/to/data/coverage+.w5	768	384	1.0	sum	973	CAGE:merkel cell carcinoma cell line:MS-1	cage	fantom	fantom	+
974	CNhs12840+	path/to/data/coverage+.w5	768	384	1.0	sum	975	CAGE:cerebral meninges, adult	cage	fantom	fantom	+
976	CNhs12842+	path/to/data/coverage+.w5	768	384	1.0	sum	977	CAGE:appendix, adult	cage	fantom	fantom	+
978	CNhs12843+	path/to/data/coverage+.w5	768	384	1.0	sum	979	CAGE:artery, adult	cage	fantom	fantom	+
980	CNhs12844+	path/to/data/coverage+.w5	768	384	1.0	sum	981	CAGE:vein, adult	cage	fantom	fantom	+
982	CNhs12845+	path/to/data/coverage+.w5	768	384	1.0	sum	983	CAGE:bone marrow, adult	cage	fantom	fantom	+
984	CNhs12846+	path/to/data/coverage+.w5	768	384	1.0	sum	985	CAGE:ductus deferens, adult	cage	fantom	fantom	+
986	CNhs12847+	path/to/data/coverage+.w5	768	384	1.0	sum	987	CAGE:epididymis, adult	cage	fantom	fantom	+
988	CNhs12848+	path/to/data/coverage+.w5	768	384	1.0	sum	989	CAGE:gall bladder, adult	cage	fantom	fantom	+
990	CNhs12849+	path/to/data/coverage+.w5	768	384	1.0	sum	991	CAGE:parotid gland, adult	cage	fantom	fantom	+
992	CNhs12850+	path/to/data/coverage+.w5	768	384	1.0	sum	993	CAGE:penis, adult	cage	fantom	fantom	+
994	CNhs12851+	path/to/data/coverage+.w5	768	384	1.0	sum	995	CAGE:seminal vesicle, adult	cage	fantom	fantom	+
996	CNhs12852+	path/to/data/coverage+.w5	768	384	1.0	sum	997	CAGE:submaxillary gland, adult	cage	fantom	fantom	+
998	CNhs12853+	path/to/data/coverage+.w5	768	384	1.0	sum	999	CAGE:tongue, adult	cage	fantom	fantom	+
1000	CNhs12854+	path/to/data/coverage+.w5	768	384	1.0	sum	1001	CAGE:vagina, adult	cage	fantom	fantom	+
1002	CNhs12855+	path/to/data/coverage+.w5	768	384	1.0	sum	1003	CAGE:heart - mitral valve, adult	cage	fantom	fantom	+
1004	CNhs12856+	path/to/data/coverage+.w5	768	384	1.0	sum	1005	CAGE:heart - pulmonic valve, adult	cage	fantom	fantom	+
1006	CNhs12857+	path/to/data/coverage+.w5	768	384	1.0	sum	1007	CAGE:heart - tricuspid valve, adult	cage	fantom	fantom	+
1008	CNhs12858+	path/to/data/coverage+.w5	768	384	1.0	sum	1009	CAGE:throat, adult	cage	fantom	fantom	+
1010	CNhs12893+	path/to/data/coverage+.w5	768	384	1.0	sum	1011	CAGE:Smooth Muscle Cells - Bladder,	cage	fantom	fantom	+
1012	CNhs12998+	path/to/data/coverage+.w5	768	384	1.0	sum	1013	CAGE:testis, adult, pool2	cage	fantom	fantom	+
1014	CNhs13049+	path/to/data/coverage+.w5	768	384	1.0	sum	1015	CAGE:acute myeloid leukemia (FAB M7) cell line:M-MOK	cage	fantom	fantom	+
1016	CNhs13050+	path/to/data/coverage+.w5	768	384	1.0	sum	1017	CAGE:acute myeloid leukemia (FAB M5) cell line:NOMO-1	cage	fantom	fantom	+
1018	CNhs13051+	path/to/data/coverage+.w5	768	384	1.0	sum	1019	CAGE:acute myeloid leukemia (FAB M5) cell line:P31/FUJ	cage	fantom	fantom	+
1020	CNhs13052+	path/to/data/coverage+.w5	768	384	1.0	sum	1021	CAGE:acute myeloid leukemia (FAB M2) cell line:Kasumi-6	cage	fantom	fantom	+
1022	CNhs13053+	path/to/data/coverage+.w5	768	384	1.0	sum	1023	CAGE:acute myeloid leukemia (FAB M0) cell line:KG-1	cage	fantom	fantom	+
1024	CNhs13054+	path/to/data/coverage+.w5	768	384	1.0	sum	1025	CAGE:acute myeloid leukemia (FAB M1) cell line:HYT-1	cage	fantom	fantom	+
1026	CNhs13055+	path/to/data/coverage+.w5	768	384	1.0	sum	1027	CAGE:acute myeloid leukemia (FAB M3) cell line:HL60	cage	fantom	fantom	+
1028	CNhs13056+	path/to/data/coverage+.w5	768	384	1.0	sum	1029	CAGE:acute myeloid leukemia (FAB M4eo) cell line:EoL-1	cage	fantom	fantom	+
1030	CNhs13057+	path/to/data/coverage+.w5	768	384	1.0	sum	1031	CAGE:acute myeloid leukemia (FAB M4eo) cell line:EoL-3	cage	fantom	fantom	+
1032	CNhs13058+	path/to/data/coverage+.w5	768	384	1.0	sum	1033	CAGE:acute myeloid leukemia (FAB M5) cell line:U-937 DE-4	cage	fantom	fantom	+
1034	CNhs13059+	path/to/data/coverage+.w5	768	384	1.0	sum	1035	CAGE:acute myeloid leukemia (FAB M6) cell line:EEB	cage	fantom	fantom	+
1036	CNhs13060+	path/to/data/coverage+.w5	768	384	1.0	sum	1037	CAGE:acute myeloid leukemia (FAB M6) cell line:F-36E	cage	fantom	fantom	+
1038	CNhs13061+	path/to/data/coverage+.w5	768	384	1.0	sum	1039	CAGE:mesothelioma cell line:NCI-H28	cage	fantom	fantom	+
1040	CNhs13062+	path/to/data/coverage+.w5	768	384	1.0	sum	1041	CAGE:mesothelioma cell line:NCI-H226	cage	fantom	fantom	+
1042	CNhs13063+	path/to/data/coverage+.w5	768	384	1.0	sum	1043	CAGE:mesothelioma cell line:NCI-H2052	cage	fantom	fantom	+
1044	CNhs13064+	path/to/data/coverage+.w5	768	384	1.0	sum	1045	CAGE:mesothelioma cell line:NCI-H2452	cage	fantom	fantom	+
1046	CNhs13065+	path/to/data/coverage+.w5	768	384	1.0	sum	1047	CAGE:mesothelioma cell line:Mero-14, tech_	cage	fantom	fantom	+
1048	CNhs13066+	path/to/data/coverage+.w5	768	384	1.0	sum	1049	CAGE:mesothelioma cell line:Mero-25	cage	fantom	fantom	+
1050	CNhs13067+	path/to/data/coverage+.w5	768	384	1.0	sum	1051	CAGE:mesothelioma cell line:Mero-41	cage	fantom	fantom	+
1052	CNhs13068+	path/to/data/coverage+.w5	768	384	1.0	sum	1053	CAGE:mesothelioma cell line:Mero-48a	cage	fantom	fantom	+
1054	CNhs13069+	path/to/data/coverage+.w5	768	384	1.0	sum	1055	CAGE:mesothelioma cell line:Mero-82	cage	fantom	fantom	+
1056	CNhs13070+	path/to/data/coverage+.w5	768	384	1.0	sum	1057	CAGE:mesothelioma cell line:Mero-83	cage	fantom	fantom	+
1058	CNhs13072+	path/to/data/coverage+.w5	768	384	1.0	sum	1059	CAGE:mesothelioma cell line:Mero-84	cage	fantom	fantom	+
1060	CNhs13073+	path/to/data/coverage+.w5	768	384	1.0	sum	1061	CAGE:mesothelioma cell line:Mero-95	cage	fantom	fantom	+
1062	CNhs13074+	path/to/data/coverage+.w5	768	384	1.0	sum	1063	CAGE:mesothelioma cell line:No36	cage	fantom	fantom	+
1064	CNhs13075+	path/to/data/coverage+.w5	768	384	1.0	sum	1065	CAGE:mesothelioma cell line:ONE58	cage	fantom	fantom	+
1066	CNhs13099+	path/to/data/coverage+.w5	768	384	1.0	sum	1067	CAGE:serous adenocarcinoma cell line:SK-OV-3-R, biol_	cage	fantom	fantom	+
1068	CNhs13195+	path/to/data/coverage+.w5	768	384	1.0	sum	1069	CAGE:CD4+CD25+CD45RA- memory regulatory T cells,	cage	fantom	fantom	+
1070	CNhs13813+	path/to/data/coverage+.w5	768	384	1.0	sum	1071	CAGE:CD4+CD25-CD45RA+ naive conventional T cells expanded,	cage	fantom	fantom	+
1072	CNhs13918+	path/to/data/coverage+.w5	768	384	1.0	sum	1073	CAGE:CD4+CD25+CD45RA+ naive regulatory T cells expanded,	cage	fantom	fantom	+
1074	CNhs13811+	path/to/data/coverage+.w5	768	384	1.0	sum	1075	CAGE:CD4+CD25+CD45RA- memory regulatory T cells expanded,	cage	fantom	fantom	+
1076	CNhs13223+	path/to/data/coverage+.w5	768	384	1.0	sum	1077	CAGE:CD4+CD25-CD45RA+ naive conventional T cells,	cage	fantom	fantom	+
1078	CNhs13207+	path/to/data/coverage+.w5	768	384	1.0	sum	1079	CAGE:CD14-CD16+ Monocytes,	cage	fantom	fantom	+
1080	CNhs13549+	path/to/data/coverage+.w5	768	384	1.0	sum	1081	CAGE:CD14+CD16+ Monocytes,	cage	fantom	fantom	+
1082	CNhs13921+	path/to/data/coverage+.w5	768	384	1.0	sum	1083	CAGE:CD4+CD25-CD45RA- memory conventional T cells expanded,	cage	fantom	fantom	+
1084	CNhs13224+	path/to/data/coverage+.w5	768	384	1.0	sum	1085	CAGE:CD14+CD16- Monocytes,	cage	fantom	fantom	+
1086	CNhs13513+	path/to/data/coverage+.w5	768	384	1.0	sum	1087	CAGE:CD4+CD25+CD45RA+ naive regulatory T cells,	cage	fantom	fantom	+
1088	CNhs13239+	path/to/data/coverage+.w5	768	384	1.0	sum	1089	CAGE:CD4+CD25-CD45RA- memory conventional T cells,	cage	fantom	fantom	+
1090	CNhs13241+	path/to/data/coverage+.w5	768	384	1.0	sum	1091	CAGE:acute myeloid leukemia (FAB M0) cell line:Kasumi-3	cage	fantom	fantom	+
1092	CNhs13435+	path/to/data/coverage+.w5	768	384	1.0	sum	1093	CAGE:achilles tendon,	cage	fantom	fantom	+
1094	CNhs13437+	path/to/data/coverage+.w5	768	384	1.0	sum	1095	CAGE:cerebrospinal fluid,	cage	fantom	fantom	+
1096	CNhs13439+	path/to/data/coverage+.w5	768	384	1.0	sum	1097	CAGE:cruciate ligament,	cage	fantom	fantom	+
1098	CNhs13440+	path/to/data/coverage+.w5	768	384	1.0	sum	1099	CAGE:eye - vitreous humor,	cage	fantom	fantom	+
1100	CNhs13441+	path/to/data/coverage+.w5	768	384	1.0	sum	1101	CAGE:eye - muscle superior,	cage	fantom	fantom	+
1102	CNhs13442+	path/to/data/coverage+.w5	768	384	1.0	sum	1103	CAGE:eye - muscle lateral,	cage	fantom	fantom	+
1104	CNhs13443+	path/to/data/coverage+.w5	768	384	1.0	sum	1105	CAGE:eye - muscle medial,	cage	fantom	fantom	+
1106	CNhs13444+	path/to/data/coverage+.w5	768	384	1.0	sum	1107	CAGE:eye - muscle inferior rectus,	cage	fantom	fantom	+
1108	CNhs13445+	path/to/data/coverage+.w5	768	384	1.0	sum	1109	CAGE:Fingernail (including nail plate, eponychium and hyponychium),	cage	fantom	fantom	+
1110	CNhs13449+	path/to/data/coverage+.w5	768	384	1.0	sum	1111	CAGE:optic nerve,	cage	fantom	fantom	+
1112	CNhs13454+	path/to/data/coverage+.w5	768	384	1.0	sum	1113	CAGE:skeletal muscle - soleus muscle,	cage	fantom	fantom	+
1114	CNhs13458+	path/to/data/coverage+.w5	768	384	1.0	sum	1115	CAGE:Skin - palm,	cage	fantom	fantom	+
1116	CNhs13460+	path/to/data/coverage+.w5	768	384	1.0	sum	1117	CAGE:tongue epidermis (fungiform papillae),	cage	fantom	fantom	+
1118	CNhs13464+	path/to/data/coverage+.w5	768	384	1.0	sum	1119	CAGE:Urethra,	cage	fantom	fantom	+
1120	CNhs13543+	path/to/data/coverage+.w5	768	384	1.0	sum	1121	CAGE:CD14+ monocytes - treated with BCG,	cage	fantom	fantom	+
1122	CNhs13466+	path/to/data/coverage+.w5	768	384	1.0	sum	1123	CAGE:CD14+ monocytes - treated with IFN + N-hexane,	cage	fantom	fantom	+
1124	CNhs13544+	path/to/data/coverage+.w5	768	384	1.0	sum	1125	CAGE:CD14+ monocytes - treated with Trehalose dimycolate (TDM),	cage	fantom	fantom	+
1126	CNhs13468+	path/to/data/coverage+.w5	768	384	1.0	sum	1127	CAGE:CD14+ monocytes - mock treated,	cage	fantom	fantom	+
1128	CNhs13532+	path/to/data/coverage+.w5	768	384	1.0	sum	1129	CAGE:CD14+ monocytes - treated with Group A streptococci,	cage	fantom	fantom	+
1130	CNhs13533+	path/to/data/coverage+.w5	768	384	1.0	sum	1131	CAGE:CD14+ monocytes - treated with lipopolysaccharide,	cage	fantom	fantom	+
1132	CNhs13471+	path/to/data/coverage+.w5	768	384	1.0	sum	1133	CAGE:CD14+ monocytes - treated with Salmonella,	cage	fantom	fantom	+
1134	CNhs13472+	path/to/data/coverage+.w5	768	384	1.0	sum	1135	CAGE:CD14+ monocytes - treated with Cryptococcus,	cage	fantom	fantom	+
1136	CNhs13488+	path/to/data/coverage+.w5	768	384	1.0	sum	1137	CAGE:CD14+ monocytes - treated with Candida,	cage	fantom	fantom	+
1138	CNhs13495+	path/to/data/coverage+.w5	768	384	1.0	sum	1139	CAGE:CD14+ monocytes - treated with B-glucan,	cage	fantom	fantom	+
1140	CNhs13497+	path/to/data/coverage+.w5	768	384	1.0	sum	1141	CAGE:Hep-2 cells treated with Streptococci strain 5448, biol_	cage	fantom	fantom	+
1142	CNhs13498+	path/to/data/coverage+.w5	768	384	1.0	sum	1143	CAGE:Hep-2 cells treated with Streptococci strain JRS4, biol_	cage	fantom	fantom	+
1144	CNhs13501+	path/to/data/coverage+.w5	768	384	1.0	sum	1145	CAGE:Hep-2 cells mock treated, biol_	cage	fantom	fantom	+
1146	CNhs13480+	path/to/data/coverage+.w5	768	384	1.0	sum	1147	CAGE:immature langerhans cells,	cage	fantom	fantom	+
1148	CNhs13502+	path/to/data/coverage+.w5	768	384	1.0	sum	1149	CAGE:acute myeloid leukemia (FAB M2) cell line:Kasumi-1	cage	fantom	fantom	+
1150	CNhs13503+	path/to/data/coverage+.w5	768	384	1.0	sum	1151	CAGE:acute myeloid leukemia (FAB M4) cell line:FKH-1	cage	fantom	fantom	+
1152	CNhs13504+	path/to/data/coverage+.w5	768	384	1.0	sum	1153	CAGE:acute myeloid leukemia (FAB M4) cell line:HNT-34	cage	fantom	fantom	+
1154	CNhs13505+	path/to/data/coverage+.w5	768	384	1.0	sum	1155	CAGE:acute myeloid leukemia (FAB M6) cell line:F-36P	cage	fantom	fantom	+
1156	CNhs13507+	path/to/data/coverage+.w5	768	384	1.0	sum	1157	CAGE:mesenchymal precursor cell - ovarian cancer right ovary,  (SOC-57-02-G)	cage	fantom	fantom	+
1158	CNhs13508+	path/to/data/coverage+.w5	768	384	1.0	sum	1159	CAGE:serous adenocarcinoma cell line:SK-OV-3-R after co-culture with SOC-57-02-G, biol_	cage	fantom	fantom	+
1160	CNhs13535+	path/to/data/coverage+.w5	768	384	1.0	sum	1161	CAGE:migratory langerhans cells,	cage	fantom	fantom	+
1162	CNhs13550+	path/to/data/coverage+.w5	768	384	1.0	sum	1163	CAGE:Mallassez-derived cells,	cage	fantom	fantom	+
1164	CNhs13553+	path/to/data/coverage+.w5	768	384	1.0	sum	1165	CAGE:CD34 cells differentiated to erythrocyte lineage, biol_	cage	fantom	fantom	+
1166	CNhs13793+	path/to/data/coverage+.w5	768	384	1.0	sum	1167	CAGE:amygdala - adult,	cage	fantom	fantom	+
1168	CNhs13794+	path/to/data/coverage+.w5	768	384	1.0	sum	1169	CAGE:thalamus - adult,	cage	fantom	fantom	+
1170	CNhs13795+	path/to/data/coverage+.w5	768	384	1.0	sum	1171	CAGE:hippocampus - adult,	cage	fantom	fantom	+
1172	CNhs13796+	path/to/data/coverage+.w5	768	384	1.0	sum	1173	CAGE:medial frontal gyrus - adult,	cage	fantom	fantom	+
1174	CNhs13797+	path/to/data/coverage+.w5	768	384	1.0	sum	1175	CAGE:parietal lobe - adult,	cage	fantom	fantom	+
1176	CNhs13798+	path/to/data/coverage+.w5	768	384	1.0	sum	1177	CAGE:occipital cortex - adult,	cage	fantom	fantom	+
1178	CNhs13799+	path/to/data/coverage+.w5	768	384	1.0	sum	1179	CAGE:cerebellum - adult,	cage	fantom	fantom	+
1180	CNhs13800+	path/to/data/coverage+.w5	768	384	1.0	sum	1181	CAGE:medulla oblongata - adult,	cage	fantom	fantom	+
1182	CNhs13801+	path/to/data/coverage+.w5	768	384	1.0	sum	1183	CAGE:globus pallidus - adult,	cage	fantom	fantom	+
1184	CNhs13802+	path/to/data/coverage+.w5	768	384	1.0	sum	1185	CAGE:caudate nucleus - adult,	cage	fantom	fantom	+
1186	CNhs13803+	path/to/data/coverage+.w5	768	384	1.0	sum	1187	CAGE:substantia nigra - adult,	cage	fantom	fantom	+
1188	CNhs13804+	path/to/data/coverage+.w5	768	384	1.0	sum	1189	CAGE:pineal gland - adult,	cage	fantom	fantom	+
1190	CNhs13805+	path/to/data/coverage+.w5	768	384	1.0	sum	1191	CAGE:pituitary gland - adult,	cage	fantom	fantom	+
1192	CNhs13807+	path/to/data/coverage+.w5	768	384	1.0	sum	1193	CAGE:spinal cord - adult,	cage	fantom	fantom	+
1194	CNhs13808+	path/to/data/coverage+.w5	768	384	1.0	sum	1195	CAGE:locus coeruleus - adult,	cage	fantom	fantom	+
1196	CNhs13809+	path/to/data/coverage+.w5	768	384	1.0	sum	1197	CAGE:medial temporal gyrus - adult,	cage	fantom	fantom	+
1198	CNhs13817+	path/to/data/coverage+.w5	768	384	1.0	sum	1199	CAGE:Olfactory epithelial cells,	cage	fantom	fantom	+
1200	CNhs13915+	path/to/data/coverage+.w5	768	384	1.0	sum	1201	CAGE:gamma delta positive T cells,	cage	fantom	fantom	+
1202	CNhs13926+	path/to/data/coverage+.w5	768	384	1.0	sum	1203	CAGE:Mast cell, expanded,	cage	fantom	fantom	+
1204	CNhs13925+	path/to/data/coverage+.w5	768	384	1.0	sum	1205	CAGE:Mast cell, expanded and stimulated,	cage	fantom	fantom	+
1206	CNhs13975+	path/to/data/coverage+.w5	768	384	1.0	sum	1207	CAGE:adipose,	cage	fantom	fantom	+
1208	CNhs14069+	path/to/data/coverage+.w5	768	384	1.0	sum	1209	CAGE:medial frontal gyrus, newborn,	cage	fantom	fantom	+
1210	CNhs14070+	path/to/data/coverage+.w5	768	384	1.0	sum	1211	CAGE:medial temporal gyrus, newborn,	cage	fantom	fantom	+
1212	CNhs14071+	path/to/data/coverage+.w5	768	384	1.0	sum	1213	CAGE:caudate nucleus, newborn,	cage	fantom	fantom	+
1214	CNhs14073+	path/to/data/coverage+.w5	768	384	1.0	sum	1215	CAGE:occipital cortex, newborn,	cage	fantom	fantom	+
1216	CNhs14074+	path/to/data/coverage+.w5	768	384	1.0	sum	1217	CAGE:parietal lobe, newborn,	cage	fantom	fantom	+
1218	CNhs14075+	path/to/data/coverage+.w5	768	384	1.0	sum	1219	CAGE:cerebellum, newborn,	cage	fantom	fantom	+
1220	CNhs14076+	path/to/data/coverage+.w5	768	384	1.0	sum	1221	CAGE:substantia nigra, newborn,	cage	fantom	fantom	+
1222	CNhs14077+	path/to/data/coverage+.w5	768	384	1.0	sum	1223	CAGE:spinal cord, newborn,	cage	fantom	fantom	+
1224	CNhs14078+	path/to/data/coverage+.w5	768	384	1.0	sum	1225	CAGE:amygdala, newborn,	cage	fantom	fantom	+
1226	CNhs14079+	path/to/data/coverage+.w5	768	384	1.0	sum	1227	CAGE:medulla oblongata, newborn,	cage	fantom	fantom	+
1228	CNhs14080+	path/to/data/coverage+.w5	768	384	1.0	sum	1229	CAGE:locus coeruleus, newborn,	cage	fantom	fantom	+
1230	CNhs14081+	path/to/data/coverage+.w5	768	384	1.0	sum	1231	CAGE:hippocampus, newborn,	cage	fantom	fantom	+
1232	CNhs14082+	path/to/data/coverage+.w5	768	384	1.0	sum	1233	CAGE:globus pallidus, newborn,	cage	fantom	fantom	+
1234	CNhs14083+	path/to/data/coverage+.w5	768	384	1.0	sum	1235	CAGE:putamen, newborn,	cage	fantom	fantom	+
1236	CNhs14084+	path/to/data/coverage+.w5	768	384	1.0	sum	1237	CAGE:thalamus, newborn,	cage	fantom	fantom	+
1238	CNhs14130+	path/to/data/coverage+.w5	768	384	1.0	sum	1239	CAGE:Fibroblast - Gingival,  (aggressive periodontitis)	cage	fantom	fantom	+
1240	CNhs14131+	path/to/data/coverage+.w5	768	384	1.0	sum	1241	CAGE:Fibroblast - Gingival,  (control)	cage	fantom	fantom	+
1242	CNhs14132+	path/to/data/coverage+.w5	768	384	1.0	sum	1243	CAGE:Fibroblast - Gingival,  (chronic periodontitis)	cage	fantom	fantom	+
1244	CNhs14135+	path/to/data/coverage+.w5	768	384	1.0	sum	1245	CAGE:Fibroblast - Gingival,  (periodontitis)	cage	fantom	fantom	+
1246	CNhs14138+	path/to/data/coverage+.w5	768	384	1.0	sum	1247	CAGE:bronchioalveolar carcinoma cell line:NCI-H650	cage	fantom	fantom	+
1248	CNhs14139+	path/to/data/coverage+.w5	768	384	1.0	sum	1249	CAGE:thymic carcinoma cell line:Ty-82	cage	fantom	fantom	+
1250	CNhs14140+	path/to/data/coverage+.w5	768	384	1.0	sum	1251	CAGE:thyroid carcinoma cell line:KHM-5M	cage	fantom	fantom	+
1252	CNhs14187+	path/to/data/coverage+.w5	768	384	1.0	sum	1253	CAGE:Smooth muscle cells - airway, asthmatic,	cage	fantom	fantom	+
1254	CNhs14193+	path/to/data/coverage+.w5	768	384	1.0	sum	1255	CAGE:Smooth muscle cells - airway, control,	cage	fantom	fantom	+
1256	CNhs14223+	path/to/data/coverage+.w5	768	384	1.0	sum	1257	CAGE:thalamus, adult, , tech_	cage	fantom	fantom	+
1258	CNhs14618+	path/to/data/coverage+.w5	768	384	1.0	sum	1259	CAGE:putamen, adult, , tech_	cage	fantom	fantom	+
1260	CNhs14226+	path/to/data/coverage+.w5	768	384	1.0	sum	1261	CAGE:parietal cortex, adult,	cage	fantom	fantom	+
1262	CNhs14229+	path/to/data/coverage+.w5	768	384	1.0	sum	1263	CAGE:medial temporal gyrus, adult, , tech_	cage	fantom	fantom	+
1264	CNhs14238+	path/to/data/coverage+.w5	768	384	1.0	sum	1265	CAGE:squamous cell lung carcinoma cell line:LC-1F	cage	fantom	fantom	+
1266	CNhs14239+	path/to/data/coverage+.w5	768	384	1.0	sum	1267	CAGE:epithelioid sarcoma cell line:HS-ES-2R	cage	fantom	fantom	+
1268	CNhs14240+	path/to/data/coverage+.w5	768	384	1.0	sum	1269	CAGE:squamous cell lung carcinoma cell line:RERF-LC-AI	cage	fantom	fantom	+
1270	CNhs14241+	path/to/data/coverage+.w5	768	384	1.0	sum	1271	CAGE:gastric cancer cell line:GSS	cage	fantom	fantom	+
1272	CNhs14244+	path/to/data/coverage+.w5	768	384	1.0	sum	1273	CAGE:carcinoid cell line:NCI-H727	cage	fantom	fantom	+
1274	CNhs14245+	path/to/data/coverage+.w5	768	384	1.0	sum	1275	CAGE:lung adenocarcinoma, papillary cell line:NCI-H441	cage	fantom	fantom	+
